"date","series","yield"
2021-05-31,"2-year",0.07
2021-05-31,"3-year",0.1
2021-05-31,"5-year",0.7
2021-05-31,"10-year",1.62
2021-06-30,"Overnight",0.03
2021-06-30,"1-month",0.01
2021-06-30,"3-month",0.03
2021-06-30,"6-month",0.06
2021-06-30,"1-year",-0.003
2021-06-30,"2-year",0.04
2021-06-30,"3-year",0.14
2021-06-30,"5-year",0.73
2021-06-30,"10-year",1.52
2021-07-31,"Overnight",0.03
2021-07-31,"1-month",0.01
2021-07-31,"3-month",0.02
2021-07-31,"6-month",0.06
2021-07-31,"1-year",0.009
2021-07-31,"2-year",0.04
2021-07-31,"3-year",0.16
2021-07-31,"5-year",0.64
2021-07-31,"10-year",1.25
2021-08-31,"Overnight",0.03
2021-08-31,"1-month",0.01
2021-08-31,"3-month",0.01
2021-08-31,"6-month",0.03
2021-08-31,"1-year",0.03
2021-08-31,"2-year",0.02
2021-08-31,"3-year",0.15
2021-08-31,"5-year",0.57
2021-08-31,"10-year",1.12
2021-09-30,"Overnight",0.03
2021-09-30,"1-month",0.01
2021-09-30,"3-month",0.01
2021-09-30,"6-month",0.03
2021-09-30,"1-year",0.306
2021-09-30,"2-year",0.01
2021-09-30,"3-year",0.19
2021-09-30,"5-year",0.66
2021-09-30,"10-year",1.28
2021-10-31,"Overnight",0.03
2021-10-31,"1-month",0.01
2021-10-31,"3-month",0.04
2021-10-31,"6-month",0.09
2021-10-31,"1-year",0.199
2021-10-31,"2-year",0.16
2021-10-31,"3-year",0.58
2021-10-31,"5-year",1.11
2021-10-31,"10-year",1.72
2021-11-30,"Overnight",0.04
2021-11-30,"1-month",0.01
2021-11-30,"3-month",0.04
2021-11-30,"6-month",0.14
2021-11-30,"1-year",0.286
2021-11-30,"2-year",0.56
2021-11-30,"3-year",0.95
2021-11-30,"5-year",1.38
2021-11-30,"10-year",1.81
2021-12-31,"Overnight",0.04
2021-12-31,"1-month",0.01
2021-12-31,"3-month",0.06
2021-12-31,"6-month",0.19
2021-12-31,"1-year",0.619
2021-12-31,"2-year",0.53
2021-12-31,"3-year",0.93
2021-12-31,"5-year",1.32
2021-12-31,"10-year",1.61
2022-01-31,"Overnight",0.05
2022-01-31,"1-month",0.01
2022-01-31,"3-month",0.07
2022-01-31,"6-month",0.24
2022-01-31,"1-year",0.649
2022-01-31,"2-year",0.72
2022-01-31,"3-year",1.15
2022-01-31,"5-year",1.54
2022-01-31,"10-year",1.88
2022-02-28,"Overnight",0.05
2022-02-28,"1-month",0.01
2022-02-28,"3-month",0.07
2022-02-28,"6-month",0.25
2022-02-28,"1-year",1.016
2022-02-28,"2-year",1.02
2022-02-28,"3-year",1.48
2022-02-28,"5-year",1.81
2022-02-28,"10-year",2.11
2022-03-31,"Overnight",0.05
2022-03-31,"1-month",0.03
2022-03-31,"3-month",0.17
2022-03-31,"6-month",0.54
2022-03-31,"1-year",1.868
2022-03-31,"2-year",1.34
2022-03-31,"3-year",1.88
2022-03-31,"5-year",2.21
2022-03-31,"10-year",2.5
2022-04-30,"Overnight",0.06
2022-04-30,"1-month",0.08
2022-04-30,"3-month",0.41
2022-04-30,"6-month",1.01
2022-04-30,"1-year",2.04
2022-04-30,"2-year",2.15
2022-04-30,"3-year",2.54
2022-04-30,"5-year",2.77
2022-04-30,"10-year",3.01
2022-05-31,"Overnight",0.29
2022-05-31,"1-month",0.39
2022-05-31,"3-month",1
2022-05-31,"6-month",1.79
2022-05-31,"1-year",2.416
2022-05-31,"2-year",2.6
2022-05-31,"3-year",2.89
2022-05-31,"5-year",3.09
2022-05-31,"10-year",3.38
2022-06-30,"Overnight",0.69
2022-06-30,"1-month",0.92
2022-06-30,"3-month",1.6
2022-06-30,"6-month",2.48
2022-06-30,"1-year",2.32
2022-06-30,"2-year",2.93
2022-06-30,"3-year",3.29
2022-06-30,"5-year",3.5
2022-06-30,"10-year",3.77
2022-07-31,"Overnight",1.24
2022-07-31,"1-month",1.48
2022-07-31,"3-month",2.07
2022-07-31,"6-month",2.87
2022-07-31,"1-year",2.785
2022-07-31,"2-year",2.69
2022-07-31,"3-year",3.01
2022-07-31,"5-year",3.16
2022-07-31,"10-year",3.42
2022-08-31,"Overnight",1.77
2022-08-31,"1-month",1.89
2022-08-31,"3-month",2.31
2022-08-31,"6-month",2.92
2022-08-31,"1-year",3.203
2022-08-31,"2-year",2.9
2022-08-31,"3-year",3.08
2022-08-31,"5-year",3.16
2022-08-31,"10-year",3.37
2022-09-30,"Overnight",2.21
2022-09-30,"1-month",2.41
2022-09-30,"3-month",2.76
2022-09-30,"6-month",3.26
2022-09-30,"1-year",3.149
2022-09-30,"2-year",3.25
2022-09-30,"3-year",3.41
2022-09-30,"5-year",3.5
2022-09-30,"10-year",3.74
2022-10-31,"Overnight",2.54
2022-10-31,"1-month",2.72
2022-10-31,"3-month",2.95
2022-10-31,"6-month",3.47
2022-10-31,"1-year",3.115
2022-10-31,"2-year",3.31
2022-10-31,"3-year",3.45
2022-10-31,"5-year",3.61
2022-10-31,"10-year",3.92
2022-11-30,"Overnight",2.8
2022-11-30,"1-month",2.87
2022-11-30,"3-month",3.06
2022-11-30,"6-month",3.57
2022-11-30,"1-year",3.345
2022-11-30,"2-year",3.19
2022-11-30,"3-year",3.27
2022-11-30,"5-year",3.42
2022-11-30,"10-year",3.71
2022-12-31,"Overnight",3.01
2022-12-31,"1-month",3.01
2022-12-31,"3-month",3.17
2022-12-31,"6-month",3.62
2022-12-31,"1-year",3.214
2022-12-31,"2-year",3.16
2022-12-31,"3-year",3.19
2022-12-31,"5-year",3.31
2022-12-31,"10-year",3.57
2023-01-31,"Overnight",3.07
2023-01-31,"1-month",3.08
2023-01-31,"3-month",3.32
2023-01-31,"6-month",3.73
2023-01-31,"1-year",3.835
2023-01-31,"2-year",3.17
2023-01-31,"3-year",3.22
2023-01-31,"5-year",3.34
2023-01-31,"10-year",3.62
2023-02-28,"Overnight",3.26
2023-02-28,"1-month",3.28
2023-02-28,"3-month",3.46
2023-02-28,"6-month",3.81
2023-02-28,"1-year",3.591
2023-02-28,"2-year",3.41
2023-02-28,"3-year",3.4
2023-02-28,"5-year",3.48
2023-02-28,"10-year",3.71
