"date","series","yield"
2015-03-31,"3-year",1.8325
2015-03-31,"5-year",1.9775
2015-03-31,"10-year",2.4825
2015-04-30,"Overnight",2.25
2015-04-30,"1-month",2.24
2015-04-30,"3-month",2.25
2015-04-30,"6-month",2.28
2015-04-30,"1-year",1.919
2015-04-30,"2-year",1.835
2015-04-30,"3-year",1.8025
2015-04-30,"5-year",1.9475
2015-04-30,"10-year",2.41
2015-05-31,"Overnight",2.04
2015-05-31,"1-month",2.06
2015-05-31,"3-month",2.15
2015-05-31,"6-month",2.24
2015-05-31,"1-year",1.954
2015-05-31,"2-year",2
2015-05-31,"3-year",2.0675
2015-05-31,"5-year",2.27
2015-05-31,"10-year",2.88
2015-06-30,"Overnight",2
2015-06-30,"1-month",2.04
2015-06-30,"3-month",2.15
2015-06-30,"6-month",2.25
2015-06-30,"1-year",1.926
2015-06-30,"2-year",1.995
2015-06-30,"3-year",2.03
2015-06-30,"5-year",2.2875
2015-06-30,"10-year",2.975
2015-07-31,"Overnight",2
2015-07-31,"1-month",2.05
2015-07-31,"3-month",2.14
2015-07-31,"6-month",2.25
2015-07-31,"1-year",1.877
2015-07-31,"2-year",1.915
2015-07-31,"3-year",1.9475
2015-07-31,"5-year",2.2025
2015-07-31,"10-year",2.9025
2015-08-31,"Overnight",2
2015-08-31,"1-month",2.04
2015-08-31,"3-month",2.14
2015-08-31,"6-month",2.23
2015-08-31,"1-year",1.922
2015-08-31,"2-year",1.88
2015-08-31,"3-year",1.88
2015-08-31,"5-year",2.1
2015-08-31,"10-year",2.715
2015-09-30,"Overnight",2
2015-09-30,"1-month",2.06
2015-09-30,"3-month",2.17
2015-09-30,"6-month",2.24
2015-09-30,"1-year",1.798
2015-09-30,"2-year",1.8525
2015-09-30,"3-year",1.855
2015-09-30,"5-year",2.1025
2015-09-30,"10-year",2.695
2015-10-31,"Overnight",2
2015-10-31,"1-month",2.04
2015-10-31,"3-month",2.15
2015-10-31,"6-month",2.22
2015-10-31,"1-year",2.005
2015-10-31,"2-year",1.8025
2015-10-31,"3-year",1.835
2015-10-31,"5-year",2.0725
2015-10-31,"10-year",2.6225
2015-11-30,"Overnight",2
2015-11-30,"1-month",2.05
2015-11-30,"3-month",2.22
2015-11-30,"6-month",2.32
2015-11-30,"1-year",2.031
2015-11-30,"2-year",1.9925
2015-11-30,"3-year",2.0575
2015-11-30,"5-year",2.2775
2015-11-30,"10-year",2.8525
2015-12-31,"Overnight",2
2015-12-31,"1-month",2.07
2015-12-31,"3-month",2.34
2015-12-31,"6-month",2.44
2015-12-31,"1-year",1.922
2015-12-31,"2-year",2.0525
2015-12-31,"3-year",2.095
2015-12-31,"5-year",2.285
2015-12-31,"10-year",2.845
2016-01-31,"Overnight",2
2016-01-31,"1-month",2.05
2016-01-31,"3-month",2.3
2016-01-31,"6-month",2.42
2016-01-31,"1-year",1.931
2016-01-31,"2-year",1.9525
2016-01-31,"3-year",1.9425
2016-01-31,"5-year",2.1475
2016-01-31,"10-year",2.725
2016-02-29,"Overnight",2
2016-02-29,"1-month",2.08
2016-02-29,"3-month",2.28
2016-02-29,"6-month",2.4
2016-02-29,"1-year",2.03
2016-02-29,"2-year",1.815
2016-02-29,"3-year",1.7925
2016-02-29,"5-year",1.99
2016-02-29,"10-year",2.475
2016-03-31,"Overnight",2
2016-03-31,"1-month",2.09
2016-03-31,"3-month",2.31
2016-03-31,"6-month",2.45
2016-03-31,"1-year",1.904
2016-03-31,"2-year",1.9425
2016-03-31,"3-year",1.9525
2016-03-31,"5-year",2.135
2016-03-31,"10-year",2.5675
2016-04-30,"Overnight",2
2016-04-30,"1-month",2.08
2016-04-30,"3-month",2.26
2016-04-30,"6-month",2.42
2016-04-30,"1-year",1.714
2016-04-30,"2-year",1.9325
2016-04-30,"3-year",1.9175
2016-04-30,"5-year",2.0925
2016-04-30,"10-year",2.515
2016-05-31,"Overnight",1.77
2016-05-31,"1-month",1.85
2016-05-31,"3-month",2
2016-05-31,"6-month",2.13
2016-05-31,"1-year",1.601
2016-05-31,"2-year",1.64
2016-05-31,"3-year",1.6275
2016-05-31,"5-year",1.8325
2016-05-31,"10-year",2.32
2016-06-30,"Overnight",1.75
2016-06-30,"1-month",1.85
2016-06-30,"3-month",1.99
2016-06-30,"6-month",2.14
2016-06-30,"1-year",1.61
2016-06-30,"2-year",1.62
2016-06-30,"3-year",1.5775
2016-06-30,"5-year",1.72
2016-06-30,"10-year",2.1175
2016-07-31,"Overnight",1.75
2016-07-31,"1-month",1.85
2016-07-31,"3-month",1.93
2016-07-31,"6-month",2.09
2016-07-31,"1-year",1.445
2016-07-31,"2-year",1.57
2016-07-31,"3-year",1.5225
2016-07-31,"5-year",1.615
2016-07-31,"10-year",1.9275
2016-08-31,"Overnight",1.52
2016-08-31,"1-month",1.64
2016-08-31,"3-month",1.76
2016-08-31,"6-month",1.95
2016-08-31,"1-year",1.572
2016-08-31,"2-year",1.44
2016-08-31,"3-year",1.4075
2016-08-31,"5-year",1.5375
2016-08-31,"10-year",1.875
2016-09-30,"Overnight",1.5
2016-09-30,"1-month",1.62
2016-09-30,"3-month",1.73
2016-09-30,"6-month",1.95
2016-09-30,"1-year",1.65
2016-09-30,"2-year",1.56
2016-09-30,"3-year",1.56
2016-09-30,"5-year",1.695
2016-09-30,"10-year",1.985
2016-10-31,"Overnight",1.5
2016-10-31,"1-month",1.62
2016-10-31,"3-month",1.74
2016-10-31,"6-month",1.98
2016-10-31,"1-year",1.688
2016-10-31,"2-year",1.6725
2016-10-31,"3-year",1.6925
2016-10-31,"5-year",1.8325
2016-10-31,"10-year",2.2
2016-11-30,"Overnight",1.5
2016-11-30,"1-month",1.62
2016-11-30,"3-month",1.76
2016-11-30,"6-month",2
2016-11-30,"1-year",1.735
2016-11-30,"2-year",1.715
2016-11-30,"3-year",1.795
2016-11-30,"5-year",2.015
2016-11-30,"10-year",2.505
2016-12-31,"Overnight",1.5
2016-12-31,"1-month",1.62
2016-12-31,"3-month",1.78
2016-12-31,"6-month",2.02
2016-12-31,"1-year",1.713
2016-12-31,"2-year",1.845
2016-12-31,"3-year",1.965
2016-12-31,"5-year",2.24
2016-12-31,"10-year",2.7925
2017-01-31,"Overnight",1.5
2017-01-31,"1-month",1.62
2017-01-31,"3-month",1.78
2017-01-31,"6-month",2.03
2017-01-31,"1-year",1.612
2017-01-31,"2-year",1.83
2017-01-31,"3-year",1.95
2017-01-31,"5-year",2.21
2017-01-31,"10-year",2.7275
2017-02-28,"Overnight",1.5
2017-02-28,"1-month",1.62
2017-02-28,"3-month",1.78
2017-02-28,"6-month",2
2017-02-28,"1-year",1.577
2017-02-28,"2-year",1.805
2017-02-28,"3-year",1.9375
2017-02-28,"5-year",2.2175
2017-02-28,"10-year",2.75
2017-03-31,"Overnight",1.5
2017-03-31,"1-month",1.63
2017-03-31,"3-month",1.79
2017-03-31,"6-month",2
2017-03-31,"1-year",1.619
2017-03-31,"2-year",1.8125
2017-03-31,"3-year",1.985
2017-03-31,"5-year",2.2925
2017-03-31,"10-year",2.81
2017-04-30,"Overnight",1.5
2017-04-30,"1-month",1.62
2017-04-30,"3-month",1.77
2017-04-30,"6-month",1.97
2017-04-30,"1-year",1.566
2017-04-30,"2-year",1.67
2017-04-30,"3-year",1.8
2017-04-30,"5-year",2.0875
2017-04-30,"10-year",2.56
2017-05-31,"Overnight",1.5
2017-05-31,"1-month",1.62
2017-05-31,"3-month",1.73
2017-05-31,"6-month",1.9
2017-05-31,"1-year",1.637
2017-05-31,"2-year",1.655
2017-05-31,"3-year",1.775
2017-05-31,"5-year",2.0525
2017-05-31,"10-year",2.5425
2017-06-30,"Overnight",1.5
2017-06-30,"1-month",1.62
2017-06-30,"3-month",1.72
2017-06-30,"6-month",1.85
2017-06-30,"1-year",1.646
2017-06-30,"2-year",1.6575
2017-06-30,"3-year",1.7625
2017-06-30,"5-year",1.9875
2017-06-30,"10-year",2.4075
2017-07-31,"Overnight",1.5
2017-07-31,"1-month",1.61
2017-07-31,"3-month",1.7
